station_code	soil_code	locality	sexe	nivins	langues	perschar	nbract	actprin	actsec1	actsec2	actsec3	bovins	ovins	caprins	asins	porcins	volailles	charrue	daba_houe	charrette	pulve	rayon	semoir	tricyc	suptot	supasso	prctsasso	typass	pluvio4	pluvio5	pluvio6	pluvio7	pluvio8	pluvio9	pluvio10	dismai	Argil	limon	sable	granuloc	tysopa	pHeau	MO	Nto	Kto	Pto	precul2014	precul2015	precul2016	typrot	varsorgh	varnieb	pracul	modsem	FO_Qte	FO_date	denpoq	datesem	freqsar	NPK_date	NPK_qte	uree_date	uree_qte	rdtsor	rdtnieb
BU_RT	BU_RT_11	Raguitenga	1	1	2	7	5	1	2	0	0	3	15	0	1	0	20	1	6	1	1	0	0	0	5	3	60	1	0	149	206	127.5	100.5	166	32	5500	0.9	43.8	55.3	5	5	5.8	0.8	0.4	507	165	1	5	3	8	16	2	6	2	0	0	55556	41	2	35	93.8	0	0	556.25	62.5
BU_RT	BU_RT_12	Raguitenga	2	0	1	5	4	1	2	0	0	2	3	1	3	0	0	1	4	1	0	0	0	0	3	1	33.3	1	0	149	206	127.5	100.5	166	32	4000	6.7	23.5	69.9	5	6	5.8	0.9	0.5	508	211	3	3	4	3	16	1	3	2	2	39	31250	26	3	10	31.3	0	0	171.88	290.63
BU_RT	BU_RT_13	Raguitenga	1	0	2	10	7	1	2	0	0	0	7	4	2	0	50	2	8	1	1	0	0	0	6	2	33.3	1	0	149	206	127.5	100.5	166	32	2000	15.6	34.8	49.6	2	5	6.4	1.9	0.8	1529	138	3	3	3	5	16	1	6	2	4	23	31250	0	3	20	93.8	0	0	537.5	321.88
BU_RT	BU_RT_14	Raguitenga	1	1	2	10	6	1	2	0	0	2	0	0	1	0	10	1	7	1	0	0	0	0	2.5	1.5	60	1	0	149	206	127.5	100.5	166	32	4000	13.5	47.1	39.4	2	6	6.7	2	1	1768	230	3	3	3	5	16	1	6	2	2	66	27778	41	2	31	125	0	0	125	571.88
BU_RT	BU_RT_15	Raguitenga	1	1	2	10	6	1	2	0	0	2	7	0	1	0	20	1	7	1	0	0	0	0	3	1.5	50	1	0	149	206	127.5	100.5	166	32	2000	7.7	50.9	41.4	1	6	6.2	1.5	0.6	1783	120	3	3	3	5	14	1	3	2	0	0	41667	40	2	14	125	0	0	46.88	190.63
BU_TS	BU_TS_01	Tingressene	1	0	1	20	10	1	2	3	0	0	0	7	1	0	20	1	7	1	0	0	0	0	NA	NA	NA	NA	0	149	206	127.5	100.5	166	32	20	6.7	13.4	79.9	7	5	6.7	0.6	0.3	508	120	5	3	3	4	2	1	6	2	2	56	27778	31	2	0	156.3	0	0	1512.5	312.5
BU_TS	BU_TS_02	Tingressene	1	0	1	5	3	1	2	0	0	0	5	3	1	0	25	1	5	1	1	0	0	0	4	2	50	1	0	149	206	127.5	100.5	166	32	40	10.1	10.1	79.8	5	5	5.5	0.5	0.2	253	64	3	1	3	1	16	1	3	2	1.5	47	31250	10	3	0	0	0	0	412.5	156.25
BU_TS	BU_TS_03	Tingressene	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	3	60	1	0	149	206	127.5	100.5	166	32	1000	13.5	20.3	66.2	5	7	5.7	0.9	0.6	254	156	3	3	5	4	16	1	5	2	0	0	27778	44	2	0	0	0	0	225	121.88
BU_TS	BU_TS_04	Tingressene	2	0	1	21	11	1	2	3	0	8	8	25	0	0	3	1	10	1	0	0	0	0	1.5	1	66.7	1	0	149	206	127.5	100.5	166	32	4000	4.4	44.6	51	5	3	5.9	1.5	0.7	888	165	3	3	3	5	16	1	3	2	0.5	39	31250	29	3	0	0	0	0	1359.38	NA
BU_TS	BU_TS_05	Tingressene	2	0	1	14	11	1	2	0	0	3	10	10	2	0	0	2	10	1	1	0	0	0	3	1.5	50	1	0	149	206	127.5	100.5	166	32	3000	24.2	27.7	48.2	2	3	6.4	3.4	1.8	1015	NA	3	1	3	1	2	1	3	2	0.5	41	31250	27	2	NA	0	0	0	690.63	165.63
